date,campaign_id,campaign_name,channel,region,device,impressions,clicks,visits,unique_visitors,pageviews,bounce_rate,avg_page_load_time_ms,step1_landing,step2_product_view,step3_add_to_cart,step4_checkout_start,step5_purchase,conversions,revenue,spend,roas,anomaly_flag,anomaly_type
2025-01-01,C01,Campaign 1,Search,APAC,Desktop,10781,219,238,196,431,0.3214603979385444,2022.448719413586,238,166,104,75,58,58,2562.74328722262,100.36216045413627,25.534955361923963,0,
2025-01-01,C01,Campaign 1,Social,US,iOS,19279,1448,1404,1327,3951,0.3700394280276701,1938.5792837987904,1404,972,324,182,166,166,13386.722390349192,457.0394622594955,29.29007995101427,0,
2025-01-01,C01,Campaign 1,Social,UK,iOS,11187,623,629,590,1492,0.40876008519040363,1418.201095215432,629,359,154,122,100,100,10492.23410494178,883.3778142352937,11.877402778135767,0,
2025-01-01,C01,Campaign 1,Social,EU,iOS,15381,263,249,247,474,0.3721352639464015,2130.8732996144095,249,183,91,66,50,50,1976.2149389902227,401.90834073341904,4.917078693574618,0,
2025-01-01,C01,Campaign 1,Social,APAC,iOS,10624,113,122,120,347,0.3400694088894672,2096.1363271790956,122,96,65,54,37,37,2164.8615958271234,197.40335459838823,10.966691018151518,0,
2025-01-01,C01,Campaign 1,Social,US,Android,13875,300,311,284,427,0.35465669747567996,1342.8118808677507,311,237,141,109,92,92,5147.318591221748,239.7318405748916,21.47115117824217,0,
2025-01-01,C01,Campaign 1,Social,UK,Android,13460,909,963,895,2372,0.3685836926541124,1870.4723688209285,963,579,260,139,111,111,2618.9592391438373,992.1886174200906,2.6395779926942815,0,
2025-01-01,C01,Campaign 1,Social,EU,Android,13705,444,402,387,743,0.355142401527637,1368.9020888282776,402,293,113,84,52,52,1308.74495007676,534.2664759076381,2.4496108385864934,0,
2025-01-01,C01,Campaign 1,Social,APAC,Android,10651,600,635,542,1263,0.28825447377945956,2464.5206922432617,635,350,126,75,59,59,5396.115943930368,853.4013242520859,6.323069569477738,0,
2025-01-01,C01,Campaign 1,Social,US,Desktop,10620,840,797,694,2043,0.38550555425169825,2109.853621371735,797,511,173,120,91,91,3396.1370161811383,871.5401551118256,3.896707450898102,0,
2025-01-01,C01,Campaign 1,Social,UK,Desktop,8937,511,498,460,1048,0.38239804070164196,2163.895269983927,498,273,89,67,40,40,3143.102325093853,970.0780107258607,3.240051099335843,0,
2025-01-01,C01,Campaign 1,Social,EU,Desktop,10797,420,423,418,801,0.37247934941880256,1550.9201920717624,423,220,94,78,47,47,4768.0018681679985,327.2443091882075,14.570159768388164,0,
2025-01-01,C01,Campaign 1,Social,APAC,Desktop,6906,407,426,409,727,0.39413896083720595,1515.9488168290065,426,316,219,145,105,105,10252.336087790967,357.9019695010631,28.645654289310958,0,
2025-01-01,C01,Campaign 1,Display,US,iOS,14626,1015,1066,874,3011,0.4544383045723463,1808.4015366531037,1066,635,417,273,164,164,18128.264413275923,462.0151607944734,39.23737996411821,0,
2025-01-01,C01,Campaign 1,Display,UK,iOS,9260,650,667,593,1152,0.4463938337422859,1321.3358123145913,667,484,298,243,153,153,10624.630661949497,258.6024298183919,41.08480600669851,0,
2025-01-01,C01,Campaign 1,Display,EU,iOS,11451,493,455,377,1169,0.28422236835468545,1897.474884596765,455,238,138,73,64,64,5799.950253801576,216.07841305597617,26.8418773156163,0,
2025-01-01,C01,Campaign 1,Display,APAC,iOS,7283,582,618,611,1838,0.29686180453564615,2344.0445464992686,618,324,197,142,106,106,11727.356482004201,284.6187889937061,41.203732625900294,0,
2025-01-01,C01,Campaign 1,Display,US,Android,11196,135,124,102,293,0.39154772113929376,2413.095565201031,124,97,43,26,23,23,974.270428594741,261.5595728016203,3.724850970504054,0,
2025-01-01,C01,Campaign 1,Display,UK,Android,7230,525,527,526,702,0.38789019101820515,1821.7402311754286,527,346,190,147,111,111,9185.894688933105,679.000523391367,13.528553178505396,0,
2025-01-01,C01,Campaign 1,Display,EU,Android,11728,143,154,137,356,0.2828222526255379,1560.2429418223912,154,98,43,31,19,19,2231.3501345657164,282.6478319829915,7.894453387139334,0,
2025-01-01,C01,Campaign 1,Display,APAC,Android,8483,389,403,335,1144,0.4093570413223572,2390.6634501718518,403,252,169,143,88,88,1992.0293755758178,365.6552245164542,5.447835124494927,0,
2025-01-01,C01,Campaign 1,Display,US,Desktop,9818,755,737,732,2001,0.3408368123797905,2295.126524789385,737,460,188,98,88,88,8913.528880344684,1509.6376336627486,5.90441618676284,0,
2025-01-01,C01,Campaign 1,Display,UK,Desktop,8375,421,416,343,1213,0.24051279075665138,2014.1967239900819,416,291,159,102,65,65,5665.225771353197,498.68422153684486,11.360346942387924,0,
2025-01-01,C01,Campaign 1,Display,EU,Desktop,8716,417,422,411,812,0.4016300759668118,2347.4526230129395,422,300,115,63,38,38,2092.2327234650684,543.2926482112495,3.851023440780192,0,
2025-01-01,C01,Campaign 1,Display,APAC,Desktop,5850,262,262,250,501,0.42852379013840647,1932.2802228255728,262,205,73,63,48,48,2199.5730638350005,283.09906582852153,7.769623179072317,0,
2025-01-01,C02,Campaign 2,Search,US,iOS,33723,1137,1100,998,2231,0.2088698480559934,2399.955470270079,1100,780,290,225,167,167,17941.104001068765,1336.9997704470331,13.418928258357187,0,
2025-01-01,C02,Campaign 2,Search,UK,iOS,30605,1553,1504,1307,1890,0.4846341171498349,2752.65471780318,1504,912,599,330,236,236,12309.353246448685,709.5563767025125,17.347956625593806,0,
2025-01-01,C02,Campaign 2,Search,EU,iOS,28733,1714,1671,1337,4616,0.36452055821018475,1489.907282532925,1671,1329,683,593,404,404,38782.198521078455,2062.2021539280836,18.806206000321602,0,
2025-01-01,C02,Campaign 2,Search,APAC,iOS,24504,354,367,355,935,0.2564185252939928,1136.3633646449373,367,195,116,66,52,52,5411.691926565242,159.8831650189154,33.84779082854031,0,
2025-01-01,C02,Campaign 2,Search,US,Android,29361,772,749,696,1545,0.47502508529664883,2022.2560958534136,749,499,266,193,141,141,7578.000357594045,1412.297244013114,5.3657262235114,0,
2025-01-01,C02,Campaign 2,Search,UK,Android,24158,673,731,585,1173,0.33350088328353067,888.819832875777,731,552,185,152,94,94,9797.751931802908,260.9761502362301,37.54271002516586,0,
2025-01-01,C02,Campaign 2,Search,EU,Android,21035,1227,1105,1099,2302,0.4152681296391272,2026.7023707675305,1105,790,406,280,250,250,10126.939003736477,2387.2388233211823,4.24211390364691,0,
2025-01-01,C02,Campaign 2,Search,APAC,Android,21976,509,552,476,1252,0.2901624008138808,944.4798740762739,552,366,190,110,92,92,2648.386623432443,272.8250764593802,9.707269792799819,0,
2025-01-01,C02,Campaign 2,Search,US,Desktop,18039,330,349,286,953,0.3052206420217382,2402.0100458643283,349,272,189,109,79,79,8898.950446358718,503.8156649714665,17.663107888601893,0,
2025-01-01,C02,Campaign 2,Search,UK,Desktop,14758,955,980,961,1733,0.48674339957836976,2129.9600744514937,980,622,364,312,255,255,18864.417078823142,998.8019804929685,18.887044126116393,0,
2025-01-01,C02,Campaign 2,Search,EU,Desktop,20894,729,665,562,1447,0.20061185389047123,1494.0834452178196,665,478,276,156,141,141,9805.473132295916,1137.592507174619,8.619495179912247,0,
2025-01-01,C02,Campaign 2,Search,APAC,Desktop,16224,1255,1180,1112,2465,0.31749802164881724,1904.2115948296064,1180,779,351,239,193,193,13554.165106026832,1528.292669280237,8.86882818878552,0,
2025-01-01,C02,Campaign 2,Social,US,iOS,25594,952,970,885,2414,0.44455792388974513,1943.2687381445394,970,764,333,196,146,146,7123.772400545601,1280.835505886256,5.561816773354052,0,
2025-01-01,C02,Campaign 2,Social,UK,iOS,23979,468,489,449,676,0.30178817557557475,2320.739667264038,489,254,84,45,40,40,4442.744793022852,238.1082580364658,18.65850781346044,0,
2025-01-01,C02,Campaign 2,Social,EU,iOS,20714,423,408,351,656,0.22332746231683903,2366.1931210043394,408,295,112,91,73,73,2294.1512904065207,424.9702465008287,5.398380967365082,0,
2025-01-01,C02,Campaign 2,Social,APAC,iOS,20634,1551,1680,1541,2115,0.33472708068893253,1925.1896607267408,1680,1131,414,212,150,150,14707.435613191315,1197.2140980719867,12.28471635681238,0,
2025-01-01,C02,Campaign 2,Social,US,Android,20568,500,495,451,1360,0.24282972014449666,1859.5560910608895,495,291,123,81,60,60,5998.692132445617,446.97894919193305,13.420524933646874,0,
2025-01-01,C02,Campaign 2,Social,UK,Android,18293,963,979,840,2433,0.5443878182923175,2579.893038240492,979,630,314,253,160,160,8549.804980967714,412.50655688334706,20.72647049677205,0,
2025-01-01,C02,Campaign 2,Social,EU,Android,22957,668,635,532,1339,0.21331973763451936,2204.138001176631,635,425,278,200,170,170,17090.354445084387,1323.2004047886007,12.915922926893908,0,
2025-01-01,C02,Campaign 2,Social,APAC,Android,16882,1055,979,862,1745,0.3684755165110531,1513.6096772295177,979,705,450,247,223,223,18797.240068597846,1579.0273933709166,11.904315370026223,0,
2025-01-01,C02,Campaign 2,Social,US,Desktop,20973,1102,1071,864,2886,0.44481682332087114,1531.9843225778613,1071,652,420,246,231,231,22632.427697603514,544.6133304192714,41.55687426927267,0,
2025-01-01,C02,Campaign 2,Social,UK,Desktop,14790,1199,1195,1078,3029,0.28645579398691823,2448.3072093869096,1195,675,376,251,162,162,17829.271280029447,1768.6175123657583,10.08090848098663,0,
2025-01-01,C02,Campaign 2,Social,EU,Desktop,17401,1170,1169,950,2255,0.49487602130655545,1791.6604957339455,1169,621,221,133,92,92,8576.098121823374,849.703283857018,10.093050462149911,0,
2025-01-01,C02,Campaign 2,Social,APAC,Desktop,13281,591,579,552,1134,0.3797275064389221,1752.6408397815082,579,321,107,86,53,53,5496.518650726056,616.5482053201226,8.91498605185651,0,
2025-01-01,C02,Campaign 2,Display,US,iOS,22509,1353,1325,1312,1911,0.20961705275398126,1750.4424085037763,1325,877,319,266,238,238,27494.6242428188,761.6613912455316,36.09822495775626,0,
2025-01-01,C02,Campaign 2,Display,UK,iOS,16202,706,693,652,1577,0.28624388513803595,1769.6916691114186,693,362,108,95,57,57,1727.6343522783457,589.3787874826548,2.931280169850343,0,
2025-01-01,C02,Campaign 2,Display,EU,iOS,19507,1556,1698,1615,3990,0.4143842542987044,2172.1013383814166,1698,1173,811,698,576,576,51446.89217991886,603.2812277736197,85.27845689775752,0,
2025-01-01,C02,Campaign 2,Display,APAC,iOS,14429,187,189,169,333,0.3786020995069776,1565.0922328935285,189,105,36,24,21,21,1984.635551052463,73.54718319611437,26.98452156570579,0,
2025-01-01,C02,Campaign 2,Display,US,Android,17059,808,786,716,1623,0.3563726286022069,2205.326414422141,786,496,229,166,146,146,10780.661759559498,1151.249548490632,9.36431356146345,0,
2025-01-01,C02,Campaign 2,Display,UK,Android,15219,691,679,605,2025,0.4012723079527389,1731.2346515712968,679,353,107,55,34,34,807.829028901287,770.8991246583362,1.0479049762306036,0,
2025-01-01,C02,Campaign 2,Display,EU,Android,16139,489,472,426,1188,0.3492908781874898,1746.1308983669608,472,278,178,139,112,112,5345.375231803864,903.4648955404283,5.91652786753425,0,
2025-01-01,C02,Campaign 2,Display,APAC,Android,9947,188,205,196,341,0.3719204628068457,1820.122609102128,205,156,84,72,68,68,6414.799195676644,77.16965647073292,83.1259265500229,0,
2025-01-01,C02,Campaign 2,Display,US,Desktop,12979,861,795,643,1503,0.38748507946972177,2003.275910996852,795,547,211,149,120,120,8700.378010323218,639.2035806706505,13.611278587011055,0,
2025-01-01,C02,Campaign 2,Display,UK,Desktop,10874,484,507,409,1425,0.3393553532263145,2250.2715137478517,507,312,127,87,53,53,5576.625726739141,174.34552473477888,31.98605605290138,0,
2025-01-01,C02,Campaign 2,Display,EU,Desktop,11328,803,763,611,1871,0.353647373157604,1547.6031480504212,763,601,206,176,166,166,4341.182635571302,1446.1553479995484,3.0018784922217483,0,
2025-01-01,C02,Campaign 2,Display,APAC,Desktop,9518,706,712,692,1794,0.43813253711970934,1825.447103980068,712,408,148,83,59,59,2588.2711846760035,1328.0944386817882,1.9488607958068214,0,
2025-01-01,C03,Campaign 3,Search,US,iOS,27713,633,570,549,918,0.47538462933111614,1937.2436331807035,570,329,124,66,47,47,3571.2682678514984,314.55957428123526,11.353233409003055,0,
2025-01-01,C03,Campaign 3,Search,UK,iOS,19523,215,205,164,405,0.3219087444943329,2242.9553713354853,205,113,67,54,35,35,3397.9893798934645,410.7373781576915,8.272900302219142,0,
2025-01-01,C03,Campaign 3,Search,EU,iOS,20019,1316,1199,977,3278,0.511632157094569,1504.050289414645,1199,813,368,193,171,171,9778.353349982192,2226.5872413184898,4.391632705212066,0,
2025-01-01,C03,Campaign 3,Search,APAC,iOS,16190,158,172,141,470,0.4538927787331468,1843.0719478906422,172,101,64,51,34,34,1126.5394297918856,280.55939103217383,4.01533317294197,0,
2025-01-01,C03,Campaign 3,Search,US,Android,27383,321,308,266,771,0.2875758676914476,2056.0759294828495,308,234,137,99,75,75,5574.246043424687,183.2003993789946,30.427040892487373,0,
2025-01-01,C03,Campaign 3,Search,UK,Android,16291,259,260,208,684,0.39110681544524367,1697.2758766323866,260,205,76,52,31,31,2474.8145218795235,345.09702917005416,7.171358524387656,0,
2025-01-01,C03,Campaign 3,Search,EU,Android,18692,926,954,825,2158,0.37371671471988466,1783.6568265615965,954,519,252,194,143,143,16798.207881750866,1414.195503882581,11.878278382042998,0,
2025-01-01,C03,Campaign 3,Search,APAC,Android,17187,1015,1060,1006,1550,0.36302096631391845,1435.2822044994573,1060,535,263,153,110,110,10733.852093722517,1928.6053135529828,5.565603298037183,0,
2025-01-01,C03,Campaign 3,Search,US,Desktop,14895,731,778,678,1384,0.4235442295766204,2021.009634103354,778,398,226,199,128,128,14031.63267436849,958.4289272683185,14.640243293116132,0,
2025-01-01,C03,Campaign 3,Search,UK,Desktop,15045,767,835,772,2179,0.3231670285044647,2765.3575660468546,835,583,303,223,194,194,13209.534330110306,283.2392789339752,46.6373674577442,0,
2025-01-01,C03,Campaign 3,Search,EU,Desktop,13998,590,603,522,1233,0.395695513645437,1950.1005022474874,603,379,120,67,40,40,3413.0520769493205,510.3115692311742,6.688173035330868,0,
2025-01-01,C03,Campaign 3,Search,APAC,Desktop,12792,556,524,463,820,0.32307018181430713,1940.7018706374854,524,413,192,160,131,131,12253.088912521358,892.4526190007207,13.729680043116623,0,
2025-01-01,C03,Campaign 3,Social,US,iOS,20575,996,902,792,2066,0.45535548505860496,1975.7211030725884,902,628,437,268,194,194,11326.634746235248,1087.5142448466847,10.41515989322241,0,
2025-01-01,C03,Campaign 3,Social,UK,iOS,18636,478,487,451,911,0.14121265656136794,1951.4275472379663,487,253,120,64,47,47,3726.716479209375,614.2325472065287,6.06727288574682,0,
2025-01-01,C03,Campaign 3,Social,EU,iOS,19684,351,343,333,417,0.4873412384251509,2415.0446240296164,343,212,83,49,44,44,2824.907244644573,302.74168289563886,9.331081262497888,0,
2025-01-01,C03,Campaign 3,Social,APAC,iOS,14080,786,799,790,1321,0.24627985860153367,1194.9617996644738,799,544,240,171,149,149,13490.245352271833,832.2377854701168,16.209604499814226,0,
2025-01-01,C03,Campaign 3,Social,US,Android,21175,1085,1190,981,1923,0.3619341808275948,1608.9279416423171,1190,675,251,134,85,85,6669.700953762004,1594.8994085909353,4.181894430354428,0,
2025-01-01,C03,Campaign 3,Social,UK,Android,14178,664,640,636,1436,0.36184254065277494,1130.280911784548,640,385,197,108,69,69,2370.442298071811,1260.068581127019,1.8812010184014443,0,
2025-01-01,C03,Campaign 3,Social,EU,Android,18183,370,344,291,1009,0.41441541398247583,1312.4109909855495,344,272,122,61,41,41,4226.596484500992,654.838957815718,6.454405978836743,0,
2025-01-01,C03,Campaign 3,Social,APAC,Android,14327,255,271,252,606,0.27079790109549906,1623.9970436018389,271,184,78,66,62,62,5905.05212821655,115.7238149069365,51.027112552116535,0,
2025-01-01,C03,Campaign 3,Social,US,Desktop,13160,197,212,206,375,0.3244354590144735,2179.2707301449204,212,124,69,43,35,35,2834.4113192454306,247.79569676899882,11.438500975615156,0,
2025-01-01,C03,Campaign 3,Social,UK,Desktop,10950,543,536,430,1209,0.38608762372663824,1380.3972309718056,536,390,195,139,129,129,13508.458961706207,1006.8317278748019,13.416799041702392,0,
2025-01-01,C03,Campaign 3,Social,EU,Desktop,14561,247,234,209,446,0.47995056468801695,1930.0534594527085,234,167,84,69,51,51,5593.242878184624,104.03058539616333,53.765369644751644,0,
2025-01-01,C03,Campaign 3,Social,APAC,Desktop,11892,680,677,567,1015,0.3869357534499369,2738.8189933490926,677,474,318,226,181,181,5242.236738704452,1033.5869685103758,5.071887415782398,0,
2025-01-01,C03,Campaign 3,Display,US,iOS,14785,1149,1062,1032,2803,0.3035011861533734,1441.796239141961,1062,783,292,253,189,189,5425.036392906749,1938.1018253569118,2.7991493129664122,0,
2025-01-01,C03,Campaign 3,Display,UK,iOS,11698,555,570,514,1292,0.3963432115443908,2264.27299827885,570,314,139,119,103,103,7793.361696748188,407.70105543304845,19.11538268761728,0,
2025-01-01,C03,Campaign 3,Display,EU,iOS,12764,791,839,799,1232,0.2586298765363061,1699.8725153068026,839,478,309,212,166,166,6282.203022781016,657.211870699816,9.558870286520488,0,
2025-01-01,C03,Campaign 3,Display,APAC,iOS,9618,256,262,212,381,0.4033584322750528,1180.1874921685953,262,184,87,59,50,50,1079.1054588279121,225.2423786511808,4.790863359239592,0,
2025-01-01,C03,Campaign 3,Display,US,Android,15628,791,834,711,1969,0.2194799342892668,2432.3817179612806,834,508,222,165,124,124,12795.102604317633,1137.7146379153385,11.246319751816152,0,
2025-01-01,C03,Campaign 3,Display,UK,Android,9181,494,511,432,1033,0.23003300350376532,1268.1426791042768,511,408,195,123,98,98,2829.920462256131,955.8068850548522,2.960765931387622,0,
2025-01-01,C03,Campaign 3,Display,EU,Android,13149,816,803,774,965,0.16315418206666973,1600.2811041712012,803,430,296,150,128,128,12398.077501292908,582.8005965237958,21.273275242412513,0,
2025-01-01,C03,Campaign 3,Display,APAC,Android,10369,162,173,159,365,0.32673551358847697,1636.8707655725823,173,104,47,30,20,20,1419.448493503396,275.8837942073398,5.145095592083285,0,
2025-01-01,C03,Campaign 3,Display,US,Desktop,9831,766,809,740,1795,0.352089794523178,812.5828336462768,809,500,257,193,161,161,11792.947200206761,1169.2358160754743,10.086029728194305,0,
2025-01-01,C03,Campaign 3,Display,UK,Desktop,7387,192,173,143,277,0.35698519792068506,2018.6766423085253,173,134,71,49,34,34,2741.661211073477,103.03423523516174,26.609225611429103,0,
2025-01-01,C03,Campaign 3,Display,EU,Desktop,11249,737,784,731,1112,0.4260637040268918,500.0,784,446,148,119,76,76,6036.609704269488,1394.3771699588383,4.329251679047275,0,
2025-01-01,C03,Campaign 3,Display,APAC,Desktop,8682,269,243,223,451,0.44151903353617306,993.7602253347608,243,135,51,35,30,30,2458.493254222763,216.68046355870644,11.346169441605749,0,
2025-01-01,C04,Campaign 4,Search,US,iOS,38375,758,697,654,914,0.36284591848398917,1801.2184080613658,697,518,282,175,143,143,10396.692933936616,776.4510484811327,13.39001725127975,0,
2025-01-01,C04,Campaign 4,Search,UK,iOS,29213,2143,2086,1841,5610,0.4202914807780834,2104.8793603168847,2086,1049,489,338,205,205,9426.170779273201,3412.71185461625,2.7620763723496804,0,
2025-01-01,C04,Campaign 4,Search,EU,iOS,32963,1587,1504,1496,3974,0.34877521206616036,2031.7165998404353,1504,801,415,282,252,252,7511.681035762964,1793.3257635710552,4.188687403232824,0,
2025-01-01,C04,Campaign 4,Search,APAC,iOS,25793,852,845,808,2370,0.4413861163630681,1351.6710537918452,845,533,214,178,109,109,12009.205714276115,924.0039597624649,12.996920183505859,0,
2025-01-01,C04,Campaign 4,Search,US,Android,40677,2358,2366,1963,5979,0.5110709798021298,1854.614132433095,2366,1212,404,317,198,198,5370.88320975212,755.9380338265698,7.104925231192069,0,
2025-01-01,C04,Campaign 4,Search,UK,Android,36482,2265,2196,2097,5249,0.31388722739194885,1625.578604940048,2196,1162,655,527,365,365,8064.491077628318,995.9020056179834,8.097675305537807,0,
2025-01-01,C04,Campaign 4,Search,EU,Android,41200,1287,1189,1097,3084,0.3864710217665286,2666.0009379604335,1189,609,418,342,240,240,28319.287904612414,1702.956729965309,16.629481775023905,0,
2025-01-01,C04,Campaign 4,Search,APAC,Android,27882,1713,1585,1375,4549,0.302417899635547,1287.480930609258,1585,997,474,353,328,328,14454.720948106162,867.7241579259035,16.658198133675192,0,
2025-01-01,C04,Campaign 4,Search,US,Desktop,26362,1952,2075,2017,5651,0.3366302628970871,1913.0319801953199,2075,1507,729,610,521,521,50872.911962635655,2763.007442160868,18.412151623757275,0,
2025-01-01,C04,Campaign 4,Search,UK,Desktop,20897,1071,973,810,1398,0.4150151540515196,2031.164205516604,973,548,275,229,196,196,14547.849227640227,1396.1460400182877,10.420005365233617,0,
2025-01-01,C04,Campaign 4,Search,EU,Desktop,27083,840,902,836,2318,0.33892352128129805,1310.2807054842538,902,453,180,142,134,134,4008.986534468693,825.3338830499197,4.857411790309611,0,
2025-01-01,C04,Campaign 4,Search,APAC,Desktop,23514,574,587,491,1079,0.3722386451794167,2381.924257996697,587,294,177,91,78,78,3139.3483692888517,1107.0881019004912,2.835680704995082,0,
2025-01-01,C04,Campaign 4,Social,US,iOS,32466,1060,1139,1138,2121,0.4881571080986724,1640.145525754159,1139,872,468,307,228,228,20420.093740127195,323.7993110149102,63.06404320664814,0,
2025-01-01,C04,Campaign 4,Social,UK,iOS,28733,979,996,892,2346,0.360115921825877,1524.8250450144692,996,665,348,258,215,215,21607.26349313655,742.762624509387,29.090402209465882,0,
2025-01-01,C04,Campaign 4,Social,EU,iOS,34860,1568,1516,1450,3750,0.3570725509033478,2391.0120324221048,1516,958,343,216,162,162,4675.3269608098,1058.4632211470046,4.4170896705729445,0,
2025-01-01,C04,Campaign 4,Social,APAC,iOS,24936,1569,1611,1541,2276,0.4417927464153285,1678.3104475312743,1611,991,523,384,255,255,14337.003762133354,1362.9419604613556,10.519159419877484,0,
2025-01-01,C04,Campaign 4,Social,US,Android,25002,301,302,259,873,0.3127170798505406,1162.1187730932818,302,230,146,83,73,73,4804.764273186616,337.43517184607623,14.239073677175384,0,
2025-01-01,C04,Campaign 4,Social,UK,Android,21061,310,306,289,788,0.37838227857361595,1360.8550566603105,306,165,99,75,70,70,1882.7061144949482,123.06783804671102,15.298116424051893,0,
2025-01-01,C04,Campaign 4,Social,EU,Android,25345,687,652,557,1673,0.4694150855167617,1691.5505595829725,652,338,167,85,52,52,5753.474757390937,368.7246689282394,15.603715298231563,0,
2025-01-01,C04,Campaign 4,Social,APAC,Android,21874,824,745,694,2185,0.4061925255320852,1838.6999579836465,745,384,179,108,92,92,10867.93323257467,606.5473114719023,17.917700774572,0,
2025-01-01,C04,Campaign 4,Social,US,Desktop,25473,623,681,627,1245,0.29123267385615603,1475.8990251942475,681,514,269,190,121,121,12827.690289528164,952.432628528105,13.468344012271137,0,
2025-01-01,C04,Campaign 4,Social,UK,Desktop,15875,986,977,876,1463,0.3141295824756894,2604.0037157200004,977,609,341,244,151,151,10758.78999643201,1647.4937432056856,6.530398091526348,0,
2025-01-01,C04,Campaign 4,Social,EU,Desktop,21242,287,273,227,489,0.3598136252795836,2449.871383387824,273,153,99,84,75,75,3290.971585361545,306.25967602590407,10.745690154400828,0,
2025-01-01,C04,Campaign 4,Social,APAC,Desktop,20053,1282,1272,1248,2759,0.27212426068804185,1797.8410494553862,1272,886,557,363,316,316,36797.46226326565,828.6886210228856,44.404449789409405,0,
2025-01-01,C04,Campaign 4,Display,US,iOS,25947,763,783,751,1497,0.3554284408421922,2141.109470048888,783,428,247,201,142,142,15011.945449382292,1404.2584157566757,10.690301215886395,0,
2025-01-01,C04,Campaign 4,Display,UK,iOS,18730,1475,1381,1351,3283,0.33403770613364725,1334.7242155785443,1381,945,315,268,236,236,16642.879856408665,2867.5699877623697,5.803826908299973,0,
2025-01-01,C04,Campaign 4,Display,EU,iOS,22375,1788,1668,1628,3285,0.44499088412518006,2835.8254568074453,1668,1193,782,415,355,355,13753.12401546417,3144.914970776516,4.373130638908296,0,
2025-01-01,C04,Campaign 4,Display,APAC,iOS,20291,1013,1007,971,2040,0.342706470435505,903.9800405921987,1007,753,326,185,157,157,16107.857939516885,477.20780176537676,33.75438934553809,0,
2025-01-01,C04,Campaign 4,Display,US,Android,20729,415,435,404,1008,0.4298648718518368,1627.3518749127807,435,279,192,144,92,92,8060.833571093992,353.8608828870636,22.77966839772636,0,
2025-01-01,C04,Campaign 4,Display,UK,Android,19888,276,260,251,442,0.4600692938547165,2205.018400421535,260,169,71,41,25,25,1259.8660031018096,389.26398131727797,3.2365337240768977,0,
2025-01-01,C04,Campaign 4,Display,EU,Android,24473,1791,1936,1808,4276,0.33938930028939407,1410.1882781317433,1936,1235,797,572,419,419,49307.93376459662,874.4109905006333,56.389883361788456,0,
2025-01-01,C04,Campaign 4,Display,APAC,Android,15694,192,184,180,470,0.4210930202840768,1589.2978269380037,184,107,69,37,31,31,2296.165277599222,89.10885107179188,25.768094302431106,0,
2025-01-01,C04,Campaign 4,Display,US,Desktop,16137,186,189,162,328,0.42602460735788605,2484.2453490327703,189,145,54,28,19,19,1889.6987295303616,66.76273833891403,28.30469175691243,0,
2025-01-01,C04,Campaign 4,Display,UK,Desktop,14873,1196,1091,1054,2485,0.371212442183911,2056.7722139846205,1091,816,531,386,301,301,18975.865050661803,1003.2158022969037,18.91503802792558,0,
